title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
NORTH AMERICA'S 50 BEST BARS UNVEILS INAUGURAL LIST OF BARS RANKED 51st TO 100th FOR 2025,"LONDON, April 15, 2025 /PRNewswire/ -- North America's 50 Best Bars 2025, sponsored by Perrier, has revealed the inaugural 51-100 list. This extended list is the result of the votes cast by the voting Academy, which is comprised of more than 300 independent cocktail experts, renowned bartenders, ...",Benzinga,20250415T230000,"[{'topic': 'Technology', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.246319,GOOG
Leqembi®∇  ( lecanemab )  is the First Medicine that Slows Progression of Early Alzheimer's Disease to be Authorized in the European Union,"In the European Union ( EU ) , lecanemab is indicated for the treatment of adult patients with a clinical diagnosis of mild cognitive impairment and mild dementia due to Alzheimer's disease ( early AD ) who are apolipoprotein E ε4 ( ApoE ε4* ) non-carriers or heterozygotes with confirmed amyloid ...",GlobeNewswire,20250415T230000,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}]",Neutral,0.119959,GOOG
VigRX Plus Under Review: Best Male Enhancement Pills for Men's Sexual Performance,"New York City, April 15, 2025 ( GLOBE NEWSWIRE ) -- Sexual performance issues are more common than ever, yet many men still hesitate to talk about them. In today's fast-paced world, stress, aging, hormonal imbalances, and lifestyle choices have created a perfect storm for performance ...",Benzinga,20250415T222804,"[{'topic': 'Economy - Fiscal', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}]",Bullish,0.384776,GOOG
PrimeBiome Complaints Investigated: 2025 User Reviews Tested & Verified,"New York City, April 15, 2025 ( GLOBE NEWSWIRE ) -- The rising popularity of probiotic supplements has created an overwhelming number of options in the gut health marketplace.",Benzinga,20250415T221128,"[{'topic': 'Technology', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.18699,GOOG
"Kling AI Advances to the 2.0 Era, Empowering Everyone to Tell Great Stories with AI","HONG KONG, April 15, 2025 ( GLOBE NEWSWIRE ) -- Kuaishou Technology ( ""Kuaishou"" or the ""Company"". HKD Counter Stock Code: 01024 / RMB Counter Stock Code: 81024 ) , a leading content community and social platform, announced that Kling AI hosted the ""From Vision to Screen"" launch event for its ...",Benzinga,20250415T201511,"[{'topic': 'Real Estate & Construction', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}]",Somewhat-Bullish,0.303311,GOOG
"Kling AI Advances to the 2.0 Era, Empowering Everyone to Tell Great Stories with AI","HONG KONG, April 15, 2025 ( GLOBE NEWSWIRE ) -- Kuaishou Technology ( ""Kuaishou"" or the ""Company"". HKD Counter Stock Code: 01024 / RMB Counter Stock Code: 81024 ) , a leading content community and social platform, announced that Kling AI hosted the ""From Vision to Screen"" launch event for its ...",GlobeNewswire,20250415T201500,"[{'topic': 'Real Estate & Construction', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}]",Somewhat-Bullish,0.313876,GOOG
FOX NEWS DIGITAL CONTINUES TO TOP BROADCAST NETWORKS AND ALL MAJOR NEWS ORGANIZATIONS WITH MULTIPLATFORM VIEWS AND MINUTES DURING FIRST QUARTER 2025,"NEW YORK, April 15, 2025 /PRNewswire/ -- FOX News Digital finished the first quarter of 2025 topping broadcast networks and outperforming the competitive set in both multiplatform views and multiplatform minutes.",Benzinga,20250415T194400,"[{'topic': 'Technology', 'relevance_score': '1.0'}]",Neutral,0.129997,GOOG
Netflix Earnings Preview: A Diamond in the Magnificent 7 Rough,"While most ""Magnificent 7"" stocks have experienced significant declines amidst Wall Street's volatile start to 2025, Netflix stands out as a resilient performer ahead of its upcoming Q1 earnings report on Thursday, April 17th.",Zacks Commentary,20250415T193200,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.684621'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.980509'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.18115,GOOG
"AI, Waymo & Wiz: Can These 3 Factors Push GOOGL Stock Up?",Alphabet is strengthening its competitive position in the search and cloud with the infusion of AI amid challenging macroeconomic conditions.,Zacks Commentary,20250415T190000,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.413559'}, {'topic': 'Earnings', 'relevance_score': '0.714479'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.187831,GOOG
"New Documentary ""Steps Ahead"" from Health Monitor Network Tackles Critical Issue of Health Equity","Montvale, NJ, April 15, 2025 ( GLOBE NEWSWIRE ) -- Health Monitor Network released a documentary film short, Steps Ahead, which spotlights the critical issue of health equity, as well as the vital role community advocacy and health literacy play in bridging disparities and empowering individuals ...",Benzinga,20250415T180304,"[{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.796627'}]",Somewhat-Bullish,0.340714,GOOG
"Meta Used 'Buy Or Bury' Strategy To Monopolize Social Media, FTC Says - Meta Platforms  ( NASDAQ:META ) ","Prosecutors highlight a 2008 email in which Meta CEO Mark Zuckerberg reportedly stated it was ""better to buy than compete."" Feel unsure about the market's next move? Copy trade alerts from Matt Maley-a Wall Street veteran who consistently finds profits in volatile markets.",Benzinga,20250415T173651,"[{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}]",Somewhat-Bullish,0.154087,GOOG
4 Reasons Alphabet Could Be the Best Artificial Intelligence  ( AI )  Stock to Buy Right Now,"Alphabet ( NASDAQ: GOOGL ) ( NASDAQ: GOOG ) stock reached an all-time high price of $207.05 on Feb. 4, riding a wave of strong growth and earnings momentum from 2024. For shareholders, the last few months have been challenging with concerns over the strength of the global economy rattling the ...",Motley Fool,20250415T171700,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.929393'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.999939'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",Bullish,0.389249,GOOG
"Pythian Doubles Down on AI-Readiness, Expanding AI Practice with Valuable Services and Expertise","OTTAWA, April 15, 2025 ( GLOBE NEWSWIRE ) -- Pythian Services Inc. ( ""Pythian"" ) , a leading global services company specializing in data, analytics, and AI solutions, is introducing a new AI Readiness Workshop and two new AI thought leaders to the Pythian team.",Benzinga,20250415T160000,"[{'topic': 'Technology', 'relevance_score': '1.0'}]",Bullish,0.440961,GOOG
